Doctor Name,City,Specialization,Doctor Qualification,Experience(Years),Total_Reviews,Patient Satisfaction Rate(%age),Avg Time to Patients(mins),Wait Time(mins),Hospital Address,Doctors Link,Fee(PKR)
Dr. Kashif Ikram,KHANPUR,Urologist,"MBBS, MS (Urology)",15.0,28.0,100.0,10.0,7.0,"Hadi Surgimed Hospital, Satellite Town, Bahawalpur",https://www.marham.pk/doctors/khanpur/urologist/dr-kashif-ikram#reviews-scroll,1000.0
Dr. Muhammad Hakim Ali,KHANPUR,General Physician,"MBBS, MD",2.0,1.0,100.0,14.0,11.0,"Fareed Ud Din Clinic, Khanpur, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/general-physician/dr-muhammad-hakim-ali#reviews-scroll,400.0
Dr. Zohaib Rasheed,KHANPUR,General Physician,MBBS,3.0,1.0,100.0,14.0,11.0,"Shifa Welfare Hospital, Khanpur, Rahim Yar Khan",https://www.marham.pk/doctors/rahim-yar-khan/general-physician/dr-zohaib-rasheed#reviews-scroll,200.0
Dr. Muhammad Aqeel,KHANPUR,General Physician, MBBS ,1.0,4.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/khanpur/dr-muhammad-aqeel-30401#reviews-scroll,200.0
Dr. Muhammad Jahanzaib Noor,KHANPUR,General Physician,MBBS,1.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,300.0
Dr. Farhat Iqbal,KHANPUR,General Physician,MBBS,7.0,0.0,94.0,14.0,11.0,"Abdual Sattar Hospital, Link Road, Khanpur",No Link Available,500.0
Dr. Sadaf Faheem,KHARIAN,Dermatologist,"MBBS, FCPS (Dermatology)",11.0,13.0,100.0,8.0,9.0,"Zahidi Hospital, Jandala, Bhimber",https://www.marham.pk/doctors/rawalpindi/dermatologist/dr-sadaf-faheem#reviews-scroll,1000.0
Dr. Madiha Tanveer,KHARIAN,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",18.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,2000.0
Dr. Afshan Hasan,KHARIAN,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",14.0,4.0,100.0,9.0,9.0,"Murtaza Memorial Hospital, kharian, Kharian",https://www.marham.pk/doctors/kharian/gynecologist/dr-afshan-hasan#reviews-scroll,1000.0
Dr. Nida Gul,KHARIAN,Gynecologist,"MBBS, FCPS* (Obstetrics &amp; Gynecology)",7.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Faisal Abbas,KHARIAN,Orthopedic Surgeon,"MBBS, FCPS",12.0,21.0,91.0,14.0,24.0,"Faisal Hospital and Orthopedic Center, Dinga Road, kharian",https://www.marham.pk/doctors/kharian/orthopedic-surgeon/dr-faisal-abbas#reviews-scroll,500.0
Dr. Ahsan Mahmood Mian,KHARIAN,Orthopedic Surgeon,"MBBS, MS-Orthopaedics",7.0,22.0,100.0,15.0,10.0,"Al Rehman Gyne &amp; Surgical Hospital, GT Road, Kharian",https://www.marham.pk/doctors/kharian/orthopedic-surgeon/dr-ahsan-mahmood-mian#reviews-scroll,1000.0
Dr. Mamoon Aftab Ch,KHARIAN,Pediatrician,"MBBS, MCPS (Pediatrics), PGPN",10.0,47.0,100.0,14.0,20.0,"Aftab Children Hospital, Main GT Road, kharian",https://www.marham.pk/doctors/kharian/pediatrician/dr-mamoon-aftab-ch#reviews-scroll,1200.0
Dr. Naila Mujahid,KHARIAN,Pediatrician,"MBBS, FCPS* (Pediatrics)",7.0,0.0,94.0,14.0,11.0,"Afzal Child Care Clinic, kotla, Kotla Arab Ali Khan",No Link Available,1000.0
Dr. Mehrosh Zaheer,KHARIAN,General Physician, MBBS ,5.0,4.0,100.0,10.0,9.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/kharian/dr-mehrosh-zaheer-30840#reviews-scroll,600.0
Asst. Prof. Dr. Nabeel Shafi,KHUSHAB,Urologist," MBBS , FCPS , BLS , ACLS , MHPE ",13.0,97.0,100.0,13.0,6.0,"Awan Hospital, Jauharabad, Khushab",https://www.marham.pk/doctors/khushab/urologist/asst-prof-dr-nabeel-shafi#reviews-scroll,1000.0
Dr. Muhammad Bilal Awan,KHUSHAB,Gastroenterologist,"MBBS, MD (Gastroenterology)",10.0,90.0,99.0,14.0,16.0,"Bhatti Hospital, Jauharabad, Khushab",https://www.marham.pk/doctors/sargodha/gastroenterologist/dr-muhammad-bilal-awan#reviews-scroll,1000.0
Dr. Zulfeqar Ali Bhatti,KHUSHAB,Gastroenterologist," MBBS , FCPS ",10.0,0.0,94.0,14.0,11.0,"Bhatti Hospital, Jauharabad, Khushab",No Link Available,0.0
Dr. Mohammad Tayab,KHUSHAB,General Physician,MBBS,2.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Abdul Rehman,KHUSHAB,General Physician,MBBS,5.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,750.0
Dr. Badal Baloch,KHUZDAR,Orthopedic Surgeon,"MBBS, FCPS (Orthopedic Surgery)",5.0,5.0,100.0,20.0,15.0,"Faisal medical complex, Hub-Balochistan, Khuzdar",https://www.marham.pk/doctors/khuzdar/orthopedic-surgeon/dr-badal-baloch#reviews-scroll,1000.0
Dr. Sami Shah,KHUZDAR,Ent Specialist," MBBS , , FCPS ",4.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Ayesha Farooq,KOHAT,Dermatologist," MBBS , MCPS (Dermatology) ",3.0,27.0,100.0,20.0,15.0,"Behram Medical Center, Hangu,Khyber Pahktunkhwa, Kohat",https://www.marham.pk/doctors/kohat/dermatologist/dr-ayesha-farooq#reviews-scroll,1000.0
Dr. Maryiam Ahmad,KOHAT,Dermatologist,"MBBS, FCPS Dermatology",12.0,3.0,100.0,5.0,9.0,No Address Available,https://www.marham.pk/online-consultation/dermatologist/kohat/dr-maryiam-ahmad-18936#reviews-scroll,1000.0
Dr. Hassan Gul,KOHAT,"General Physician, Pulmonologist / Lung Specialist","MBBS, MCPS (Trainee)",12.0,157.0,94.0,14.0,11.0,"DR HASSAN GUL CLINIC KDA, Khyber Pakhtunkhwa, Kohat",https://www.marham.pk/doctors/kohat/general-physician/dr-hassan-gul#reviews-scroll,800.0
Dr. Basit Hussain,KOHAT,Orthopedic Surgeon,"MBBS, FCPS (Orthopaedic Surgery)",12.0,3.0,75.0,8.0,8.0,"Doctors Hospital (Kohat), Khyber Pakhtunkhwa, Kohat",https://www.marham.pk/doctors/kohat/orthopedic-surgeon/dr-basit-hussain#reviews-scroll,800.0
Asst. Prof. Dr. Muhammad Kashif Afridi,KOHAT,Pediatrician,"MBBS, FCPS (Pediatrics), FCPS-II (Pediatric Hematology and Oncology)",10.0,6.0,100.0,14.0,11.0,"Khyber Teaching Hospital, University Town, Peshawar",https://www.marham.pk/doctors/peshawar/pediatrician/asst-prof-dr-muhammad-kashif-afridi#reviews-scroll,1000.0
Dr. Mujtaba Gul,KOHAT,Pediatrician," MBBS , FCPS , DPN ",8.0,8.0,100.0,16.0,8.0,"Mehmood medical centre, Kachehri Chowk, Kohat",https://www.marham.pk/doctors/kohat/pediatrician/dr-mujtaba-gul#reviews-scroll,700.0
Dr. Saqib Khan,KOHAT,Pediatrician,"MBBS, MCPS* (Pediatrics)",5.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Hassan Gul,KOHAT,"General Physician, Pulmonologist / Lung Specialist","MBBS, MCPS (Trainee)",12.0,157.0,94.0,11.0,9.0,"DR HASSAN GUL CLINIC KDA, Khyber Pakhtunkhwa, Kohat",https://www.marham.pk/doctors/kohat/general-physician/dr-hassan-gul#reviews-scroll,800.0
Dr. Muhammad Faisal,KOHAT,General Physician,MBBS,2.0,3.0,100.0,14.0,11.0,"Sugar Hospital, Hayatabaad, Peshawar",https://www.marham.pk/doctors/peshawar/general-physician/dr-muhammad-faisal#reviews-scroll,500.0
Dr. Wajid Ali Turi,KOHAT,General Physician, MBBS ,13.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Muhammad Imran,KOHAT,General Surgeon,MBBS,7.0,1.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/kohat/dr-muhammad-imran-27915#reviews-scroll,400.0
Dr. Ateeq Ur Rehman,KOHAT,Nephrologist,"MBBS, FCPS (Nephrology)",4.0,4.0,100.0,13.0,10.0,"Ibrahim Medical Complex, Kohat Cantt, Kohat",https://www.marham.pk/doctors/kohat/nephrologist/dr-ateeq-ur-rehman#reviews-scroll,1000.0
Dr. Sara Mazhar,KOT-ADDU,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",10.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1500.0
Dr. Abdul Rahman,KOT-ADDU,Orthopedic Surgeon,"MBBS, FCPS (Orthopaedic Surgery)",16.0,16.0,100.0,14.0,10.0,"Al Noor Clinic, Near Pakeza Hotel, Kot Addu",https://www.marham.pk/doctors/kot-addu/orthopedic-surgeon/dr-abdul-rahman#reviews-scroll,1100.0
Dr. Kamran Akbar,KOT-ADDU,Pediatrician,"MBBS, MCPS, DCH, MPH",7.0,4.0,100.0,10.0,0.0,"Child Care Clinic, Railway Road, Kot Addu",https://www.marham.pk/doctors/kot-addu/pediatrician/dr-kamran-akbar#reviews-scroll,400.0
Dr. Sarfraz Younis,KOT-ADDU,Pediatrician,"MBBS, FCPS (Paediatrics)",5.0,6.0,100.0,15.0,0.0,"Children Complex Multan Hospital, Qadirabad, Multan",https://www.marham.pk/doctors/kot-addu/pediatrician/dr-sarfraz-younis#reviews-scroll,500.0
Dr. Muhammad Irfan Majeed,KOT-ADDU,Cardiologist,MBBS,3.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Manazza Hanif,KOTLI,Gynecologist," MBBS , , Diploma (Obstetrics &amp; Gynecology) ",23.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Dr. Muhammad Farid,KOTLI,Gastroenterologist,"MBBS, FCPS (Gastroenterology)",5.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Dr. Badar Munir,KOTLI,Orthopedic Surgeon,"MBBS, FCPS (Orthopedic Surgery), MRCS",7.0,4.0,100.0,13.0,8.0,"Sarwar Jan Memorial Hospital, Housing scheme, Kotli",https://www.marham.pk/doctors/kotli/orthopedic-surgeon/dr-badar-munir#reviews-scroll,600.0
Dr. Saman Liaqat,KOTLI,Pediatrician," MBBS , MD ",7.0,1.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/pediatrician/kotli/dr-saman-liaqat-26466#reviews-scroll,600.0
Dr. Raees Ahmed,KOTLI,General Physician,MBBS,1.0,4.0,100.0,15.0,9.0,"Thq Hospital, Sohawa, Sohawa",https://www.marham.pk/doctors/kotli/general-physician/dr-raees-ahmed#reviews-scroll,300.0
Dr. Wajahat Akram,KOTLI,General Physician,MBBS,2.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,300.0
Dr. Bushra Firdous,LALAMUSA,Gynecologist," MBBS , FCPS (Gynecology &amp; Obstetrics) , MCPS (Gynecology &amp; Obstetrics) ",16.0,2.0,67.0,10.0,5.0,"Haji Gulzar Surgical Hospital, Lalamusa, Lalamusa",https://www.marham.pk/doctors/lalamusa/gynecologist/dr-bushra-firdous#reviews-scroll,3000.0
Dr. Safeer Mukhtar,LALAMUSA,Family Medicine,MBBS,2.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Abdul Haseeb,LALAMUSA,General Physician,MBBS,2.0,2.0,100.0,20.0,30.0,"Sahara Hospital, Main Bazar, Lalamusa",https://www.marham.pk/doctors/lalamusa/general-physician/dr-abdul-haseeb#reviews-scroll,700.0
Dr. Faiza Muzahir,LALAMUSA,Nephrologist," MBBS (Gold Medalist) , FCPS (Nephrology) ",10.0,1.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/nephrologist/lalamusa/dr-faiza-muzahir-31744#reviews-scroll,2000.0
Dr. Naeem Ahmed Soomro,LARKANA,Dermatologist,"MBBS, FCPS (Dermatology)",8.0,10.0,100.0,11.0,4.0,"Irfan Hussain Medical Centre, Jail Road, Larkana",https://www.marham.pk/doctors/larkana/dermatologist/dr-naeem-ahmed-soomro#reviews-scroll,1500.0
Dr. Muneeba,LARKANA,Dermatologist,"MBBS, Diploma In Dermatology",5.0,1.0,100.0,10.0,9.0,No Address Available,https://www.marham.pk/online-consultation/dermatologist/larkana/dr-muneeba-35062#reviews-scroll,750.0
Dr. Shoaib Ahmed,LARKANA,Neurologist,"MBBS, FCPS (Neurology)",9.0,17.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/neuro-physician/larkana/dr-shoaib-ahmed-28928#reviews-scroll,1000.0
Dr. Irfana Abbasi,LARKANA,Neurologist,"MBBS, FCPS (Neurology)",5.0,1.0,100.0,5.0,9.0,No Address Available,https://www.marham.pk/online-consultation/neuro-physician/larkana/dr-irfana-abbasi-35455#reviews-scroll,1200.0
Dr. Noshaba Nafees Abro,LARKANA,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",21.0,2.0,100.0,10.0,10.0,"Mir Medical Center, LARKANA, Larkana",https://www.marham.pk/doctors/larkana/gynecologist/dr-noshaba-nafees-abro#reviews-scroll,1000.0
Asst. Prof. Dr. Shabana Soomro,LARKANA,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynaecology)",17.0,4.0,100.0,8.0,20.0,"Irfan Hussain Medical Centre, Jail Road, Larkana",https://www.marham.pk/doctors/larkana/gynecologist/asst-prof-dr-shabana-soomro#reviews-scroll,600.0
Dr. Marvi Qazi,LARKANA,Gynecologist,"MBBS, Ms Gyne/obs",10.0,31.0,97.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/gynecologist/larkana/dr-marvi-qazi-16165#reviews-scroll,1000.0
Asst. Prof. Dr. Fozia Chandio,LARKANA,Gynecologist,"MBBS, FCPS, Fellowship in Urogyneclogy",16.0,2.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/gynecologist/larkana/asst-prof-dr-fozia-chandio-21216#reviews-scroll,500.0
Dr. Reema Rizwan,LARKANA,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",5.0,3.0,100.0,17.0,3.0,"United Medical Center Larkana, Jail Road, Larkana",https://www.marham.pk/doctors/larkana/gynecologist/dr-reema-rizwan#reviews-scroll,1000.0
Dr. Seema Ashfaque,LARKANA,Gynecologist,"MBBS, MRCOG",14.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Asst. Prof. Dr. Naveed Ahmed,LARKANA,Urologist,"MBBS, MS ( Urology )",4.0,30.0,94.0,12.0,9.0,"ali hospital larkana, wagan road, Larkana",https://www.marham.pk/doctors/larkana/urologist/asst-prof-dr-naveed-ahmed#reviews-scroll,600.0
Dr. Mahesh Kumar,LARKANA,Gastroenterologist,"MBBS,FCPS",5.0,0.0,94.0,14.0,11.0,"Almas Medical Complex Larkana Hospital, Railway Colony, Larkana",No Link Available,0.0
Dr. Asif Ali Shaikh,LARKANA,Orthopedic Surgeon,"MBBS , FCPS ( Orthopedics Surgery)",10.0,5.0,100.0,15.0,8.0,"New Sarfraz Medical Centre, Jail Road, Larkana",https://www.marham.pk/doctors/larkana/orthopedic-surgeon/dr-asif-ali-shaikh#reviews-scroll,500.0
Dr. Afzal Bhutto,LARKANA,Orthopedic Surgeon, MBBS ,5.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Dr. Kartar Lal Dodai,LARKANA,Pediatrician,MBBS,35.0,2.0,67.0,15.0,0.0,"Dodai Clinic, LARKANA, Larkana",https://www.marham.pk/doctors/larkana/pediatrician/dr-kartar-lal-dodai#reviews-scroll,500.0
Prof. Dr. Kouro Mal Gurbakhshani,LARKANA,General Physician,"MBBS, FCPS",25.0,42.0,98.0,15.0,13.0,"Dr Kouro Mal Clinic, Doctors Colony VIP Road, Larkana",https://www.marham.pk/doctors/larkana/general-physician/prof-dr-kouro-mal-gurbakhshani#reviews-scroll,1000.0
Dr. Arshad Ali Bhutto,LARKANA,"Internal Medicine Specialist, General Physician, Rheumatologist, Diabetologist","MBBS, FCPS",3.0,9.0,82.0,14.0,11.0,"Mehran Medical Centre, Wakeel Colony, Larkana",https://www.marham.pk/doctors/larkana/rheumatologist/dr-arshad-ali-bhutto#reviews-scroll,500.0
Dr. Imran Ali,LARKANA,General Physician,MBBS,6.0,1.0,50.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/larkana/dr-imran-ali-8830#reviews-scroll,1000.0
Dr. Sayed Parvez Ali Shah,LARKANA,General Physician,MBBS,2.0,1.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/larkana/dr-sayed-parvez-ali-shah-10016#reviews-scroll,800.0
Dr. Abdul Mueed Shaikh,LARKANA,General Physician,MBBS,3.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Dr. Ashfaque Ahmed,LARKANA,General Physician, MBBS ,3.0,0.0,94.0,14.0,11.0,"Shaheed Benazir Bhutto Medical University Hospital, Bakrani, Larkana",No Link Available,200.0
Dr. Romana Wazir,LARKANA,General Physician, MBBS ,4.0,6.0,100.0,15.0,3.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/larkana/dr-romana-wazir-27862#reviews-scroll,500.0
Dr. Kailash Tabrani,LARKANA,General Physician, MBBS ,10.0,2.0,100.0,10.0,5.0,"New Sarfraz Medical Centre, Jail Road, Larkana",https://www.marham.pk/doctors/larkana/general-physician/dr-kailash-tabrani#reviews-scroll,500.0
Dr. Aisha Kiran,LARKANA,General Physician,MBBS,5.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,700.0
Dr. Iqra Shabir,LARKANA,General Physician,MBBS,1.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Dr. Rohat Lal,LARKANA,General Physician,"MBBS,FCPS",2.0,0.0,94.0,14.0,11.0,"Shaheed Benazir Bhutto Medical University Hospital, Bakrani, Larkana",No Link Available,1000.0
Dr. Rameez Aziz,LARKANA,Nephrologist,"MBBS, FCPS (Nephrology)",8.0,1.0,100.0,10.0,10.0,"ali hospital larkana, wagan road, Larkana",https://www.marham.pk/doctors/larkana/nephrologist/dr-rameez-aziz#reviews-scroll,800.0
Dr. Sana Aslam,LAYYAH,Dermatologist,"MBBS, FCPS",5.0,16.0,94.0,18.0,9.0,No Address Available,https://www.marham.pk/online-consultation/dermatologist/layyah/dr-sana-aslam-19032#reviews-scroll,1000.0
Dr. Iqra Khaliq,LAYYAH,Dermatologist,"MBBS, FCPS Dermatology",5.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Dr. Ammara Zaib,LAYYAH,Gynecologist," MBBS , FCPS (OBSTETRICS &amp; GYNAECOLOGY) ",4.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Eizaz Ahmad,LAYYAH,Gynecologist," MBBS , FCPS (Obstetrics &amp; Gynecology) ",5.0,13.0,100.0,17.0,4.0,"Surgicare Hospital &amp; Maternity Center, Karor Lal Eason, Layyah",https://www.marham.pk/doctors/layyah/gynecologist/dr-eizaz-ahmad#reviews-scroll,1000.0
Dr. Aroosa Manzoor,LAYYAH,Gynecologist," MBBS , MCPS (Obstetrics &amp; Gynecology) ",7.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Dr. Saif Ullah Sumra,LAYYAH,"Gastroenterologist, Hepatologist","MBBS, MCPS(Internal Medicine), FCPS(Gastroenterology), MACG(USA)",12.0,0.0,94.0,14.0,11.0,"Liver and Gastro Care Clinic Layyah, Link road, opposite to DHQ, Layyah",No Link Available,1000.0
Dr. Munir Ahmed Khan,LAYYAH,Orthopedic Surgeon,"MBBS, FCPS (Orthopedics)",10.0,0.0,94.0,14.0,11.0,"Qadir Ali Hospital, Layyah,Punjab, Layyah",No Link Available,0.0
Dr. Muhammad Kashif Imran,LAYYAH,Pediatrician," MBBS , FCPS (Pediatrics) ",6.0,1.0,100.0,10.0,0.0,No Address Available,https://www.marham.pk/online-consultation/pediatrician/layyah/dr-muhammad-kashif-imran-17165#reviews-scroll,1200.0
Dr. Muhammad Afzal Khan,LAYYAH,"Pediatrician, Neonatologist","MBBS, MRCPCH II, MCPS",30.0,4.0,100.0,10.0,0.0,No Address Available,https://www.marham.pk/online-consultation/pediatrician/layyah/dr-muhammad-afzal-khan-19495#reviews-scroll,1000.0
Dr. Ibtasam Ahmad,LAYYAH,General Physician, MBBS ,5.0,20.0,100.0,13.0,15.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/layyah/dr-ibtasam-ahmad-27485#reviews-scroll,100.0
Dr. Irfan Rashid,LAYYAH,General Physician,"MBBS, FCPS (Medicine)",7.0,8.0,100.0,10.0,10.0,"Dhq Hospital, Officers Colony, Layyah",https://www.marham.pk/doctors/layyah/general-physician/dr-irfan-rashid#reviews-scroll,800.0
Dr. Muhammad Umair Gul,LAYYAH,General Physician,"MBBS, FCPS (Medicine) Training Complete",10.0,49.0,98.0,12.0,16.0,"Doctor umair, Fateh Pur, Layyah",https://www.marham.pk/doctors/layyah/general-physician/dr-muhammad-umair-gul#reviews-scroll,700.0
Dr. Muhammad Faisal Aziz,LAYYAH,General Physician,"MBBS, FCPS",9.0,34.0,97.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/general-physician/layyah/dr-muhammad-faisal-aziz-16466#reviews-scroll,1200.0
Dr. Ameer Hussain Shah,LAYYAH,General Physician,MBBS,3.0,1.0,100.0,10.0,0.0,"Gillani Health Clinic, Kalma Chowk, Layyah",https://www.marham.pk/doctors/layyah/general-physician/dr-ameer-hussain-shah#reviews-scroll,1000.0
Dr. Malik Irfan Majeed Khokhar,LAYYAH,General Physician, DHMS ,3.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1000.0
Dr. Sheharyar Ali Khan,LAYYAH,General Physician, MBBS ,4.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Maryam Imam,LAYYAH,General Physician,MBBS,6.0,13.0,100.0,20.0,10.0,"Thq Hospital, Kot Sultan, Layyah",https://www.marham.pk/doctors/layyah/general-physician/dr-maryam-imam#reviews-scroll,500.0
Dr. Asif Javaid,LAYYAH,General Physician,MBBS,1.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Faryal Aslam,LAYYAH,General Physician,MBBS,7.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,800.0
Dr. Umar Farooq,LAYYAH,General Physician,MBBS,4.0,0.0,94.0,14.0,11.0,"Dhq Hospital, Officers Colony, Layyah",No Link Available,100.0
Dr. Imtiaz Awan,LAYYAH,Neuro Surgeon,"MBBS, FCPS (Neurosurgery)",10.0,0.0,94.0,14.0,11.0,"Qadir Ali Hospital, Layyah,Punjab, Layyah",No Link Available,0.0
Dr. Muhammad Shoaib Younas,LODHRAN,Dermatologist,"MBBS , Diploma in Facial Aesthetic , Diploma in Derm (PIMS)",12.0,11.0,100.0,12.0,12.0,No Address Available,https://www.marham.pk/online-consultation/dermatologist/lodhran/dr-muhammad-shoaib-younas-28035#reviews-scroll,1000.0
Dr. Amir Bashir,LODHRAN,Dermatologist, MBBS ,9.0,5.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/dermatologist/lodhran/dr-amir-bashir-30598#reviews-scroll,500.0
Dr. Shumaila Riaz,LODHRAN,Gynecologist," MBBS , FCPS (OBSTETRICS &amp; GYNAECOLOGY) ",7.0,2.0,100.0,14.0,11.0,No Address Available,https://www.marham.pk/online-consultation/gynecologist/lodhran/dr-shumaila-riaz-15123#reviews-scroll,1000.0
Dr. Jawaria Rasheed,LODHRAN,Gynecologist,"MBBS, FCPS (Obstetrics &amp; Gynecology)",16.0,0.0,94.0,14.0,11.0,"Rasheed Surgical Hospital, Lodhran, Lodhran",No Link Available,3500.0
Dr. Muhammad Shahid Sharif,LODHRAN,Urologist," MBBS , FCPS ",7.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,1500.0
Dr. Farhan Ali,LODHRAN,Urologist,"MBBS, FCPS (Urology)",8.0,2.0,100.0,20.0,15.0,"Al-Shifa Eye Clinic &amp; General Hospital, Jalalpur Mor, Lodhran",https://www.marham.pk/doctors/lodhran/urologist/dr-farhan-ali#reviews-scroll,1000.0
Dr. Mazhar Bashir Choudray,LODHRAN,Orthopedic Surgeon,"MBBS, FCPS (Orthopaedic Surgery)",7.0,1.0,100.0,10.0,20.0,No Address Available,https://www.marham.pk/online-consultation/orthopedic-surgeon/lodhran/dr-mazhar-bashir-choudray-20758#reviews-scroll,700.0
Dr. Ghulam Nabi Chaudhary,LODHRAN,Orthopedic Surgeon,"MBBS, FCPS",20.0,0.0,94.0,14.0,11.0,"Ghulam Nabi Chaudhary Clinic, Gala Mandi, Lodhran",No Link Available,600.0
Dr. Muhammad Taimur Ali,LODHRAN,Pediatrician, MBBS ,3.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,400.0
Dr. Inam Tanveer,LODHRAN,General Physician,MBBS,1.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Arshia Zainab,LODHRAN,General Physician, MBBS ,3.0,1.0,100.0,14.0,11.0,"Al-Rehman Hospital, Purana Mailsi Rd,, Lodhran",https://www.marham.pk/online-consultation/general-physician/lodhran/dr-arshia-zainab-29065#reviews-scroll,500.0
Dr. Ata Ullah,LODHRAN,General Surgeon,MBBS,3.0,1.0,100.0,10.0,10.0,"Shamin hospital and surgical complex, Kahror Pakka, Lodhran",https://www.marham.pk/doctors/lodhran/general-physician/dr-ata-ullah#reviews-scroll,1000.0
Dr. Ghazanfar Abbas,LODHRAN,General Physician, MBBS ,2.0,1.0,100.0,14.0,11.0,"Al Shafi Clinic, Shujaabad, Multan",https://www.marham.pk/doctors/multan/general-physician/dr-ghazanfar-abbas#reviews-scroll,400.0
Dr. Sana Ali,LODHRAN,Radiologist,MBBS,1.0,0.0,94.0,14.0,11.0,No Address Available,No Link Available,500.0
Dr. Syed Zain Abbas,LODHRAN,General Physician,MBBS,1.0,0.0,94.0,14.0,11.0,"Dhq Hospital Lodhran, South Chak, Lodhran",No Link Available,300.0
Asst. Prof. Dr. Shoaib Manzoor,LODHRAN,Nephrologist,"MBBS, FCPS",11.0,6.0,100.0,18.0,8.0,"Manzoor Kidney Centrer, Railway Chowk, Lodhran",https://www.marham.pk/doctors/bahawalpur/nephrologist/asst-prof-dr-shoaib-manzoor#reviews-scroll,1000.0
Dr. Abdul Qadeer,LODHRAN,Eye Surgeon,MBBS,35.0,24.0,100.0,15.0,9.0,"Al-Shifa Eye Clinic &amp; General Hospital, Jalalpur Mor, Lodhran",https://www.marham.pk/doctors/lodhran/eye-surgeon/dr-abdul-qadeer#reviews-scroll,1000.0
Asst. Prof. Dr. Habibullah Kibzai,LORALAI,Pulmonologist / Lung Specialist,"MBBS, MCPS, FCPS",8.0,8.0,100.0,12.0,2.0,"Dr Sardar Clinic, loralai, Loralai",https://www.marham.pk/doctors/loralai/pulmonologist/asst-prof-dr-habibullah-kibzai#reviews-scroll,800.0
Asst. Prof. Dr. Muhammad Amin Kakar,LORALAI,"Eye Surgeon, Eye Specialist","MBBS, MCPS, FCPS",12.0,5.0,100.0,14.0,11.0,"Kadir General &amp; Eye Care Center, Tehsil Road, Loralai",https://www.marham.pk/doctors/loralai/eye-surgeon/dr-muhammad-amin-kakar#reviews-scroll,500.0
